OrderId,UserId,OrderValue,PaymentType,District,OrderSource,OrderType,DeliveryCharge,OrderPlacedDay,OrderConfirmDayOverPhone,IsCartOrder,OrderFromPromotionalEvent,isRTO
2562691,663791,168,MPD                 ,Dhaka,android,normal,25,6/26/2019 9:20,6/26/2019 3:30,No,Yes,No
2561859,961083,240,MPD                 ,Dhaka,mobile-site,normal,35,6/25/2019 19:05,6/25/2019 13:40,No,Yes,No
2561434,848517,120,MPD                 ,Dhaka,desktop,normal,35,6/25/2019 15:28,6/25/2019 9:27,No,Yes,Yes
2561202,276304,185,MPD                 ,Dhaka,android,normal,25,6/25/2019 13:27,6/25/2019 7:27,Yes,No,No
2561033,955384,201,MPD                 ,Dhaka,android,normal,25,6/25/2019 12:13,6/25/2019 6:56,No,Yes,No
2560941,832391,155,MPD                 ,Dhaka,android,normal,25,6/25/2019 11:07,6/25/2019 13:11,No,Yes,No
2560917,832391,105,MPD                 ,Dhaka,android,normal,25,6/25/2019 10:50,6/25/2019 13:11,No,No,No
2560916,442723,120,MPD                 ,Dhaka,android,normal,25,6/25/2019 10:50,6/25/2019 4:49,No,Yes,No
2560895,959412,499,MPD                 ,Cox's-Bazar,android,normal,55,6/25/2019 10:40,6/25/2019 5:05,No,No,Yes
2560881,959412,159,MPD                 ,Cox's-Bazar,android,normal,55,6/25/2019 10:30,6/25/2019 4:36,No,No,Yes
2560878,960883,726,MPD                 ,Dhaka,android,normal,25,6/25/2019 10:29,6/25/2019 4:39,No,No,No
2560843,863971,75,MPD                 ,Dhaka,-1,,25,6/25/2019 10:11,6/25/2019 4:40,No,No,No
2560834,568726,120,ADC                 ,Dhaka,android,normal,25,6/25/2019 10:02,6/25/2019 4:59,No,No,No
2560833,765955,490,MPD                 ,Dhaka,android,normal,25,6/25/2019 10:01,6/25/2019 4:01,Yes,No,No
2560816,19523,899,MPD                 ,Dhaka,mobile-site,normal,35,6/25/2019 9:45,6/25/2019 4:45,No,No,No
2560802,765955,1400,MPD                 ,Dhaka,mobile-site,normal,35,6/25/2019 9:33,6/25/2019 3:32,No,No,No
2560799,177606,139,MPD                 ,Dhaka,android,normal,25,6/25/2019 9:31,6/25/2019 3:31,Yes,No,No
